# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1663693136.603765249252319,0.00226,0.00012,0.00000,0.00171,0.00000,0.00009,0.00420
1663693136.637277126312256,0.00239,0.00014,0.00003,0.00185,0.00000,0.00015,0.00456
1663693136.670672416687012,0.00162,0.00013,0.00001,0.00183,0.00000,0.00013,0.00371
1663693136.703789949417114,0.00148,0.00013,0.00003,0.00188,0.00000,0.00013,0.00365
1663693136.737248182296753,0.00147,0.00014,0.00001,0.00172,0.00003,0.00014,0.00351
1663693136.770721912384033,0.00173,0.00012,0.00004,0.00205,0.00005,0.00018,0.00418
1663693136.803803205490112,0.00152,0.00015,0.00002,0.00181,0.00057,0.00014,0.00421
1663693136.837262630462646,0.00206,0.00013,0.00006,0.00171,0.00002,0.00012,0.00411
1663693136.870635271072388,0.00171,0.00015,0.00003,0.00205,0.00000,0.00011,0.00405
1663693136.903746843338013,0.00132,0.00012,0.00003,0.00175,0.00000,0.00013,0.00336
1663693136.937231063842773,0.00135,0.00013,0.00003,0.00174,0.00000,0.00010,0.00335
1663693136.970636606216431,0.00230,0.00013,0.00005,0.00225,0.00000,0.00018,0.00490
1663693137.003741502761841,0.00215,0.00016,0.00004,0.00180,0.00000,0.00015,0.00431
1663693137.037227869033813,0.00240,0.00013,0.00004,0.00175,0.00000,0.00016,0.00448
1663693137.070583820343018,0.00198,0.00014,0.00002,0.00228,0.00140,0.00017,0.00599
1663693137.103971958160400,0.00150,0.00013,0.00001,0.00196,0.00043,0.00013,0.00416
1663693137.137036561965942,0.00143,0.00013,0.00007,0.00185,0.00046,0.00010,0.00404
1663693137.170472145080566,0.00205,0.00028,0.00006,0.00194,0.00029,0.00015,0.00477
1663693137.203809976577759,0.00151,0.00013,0.00004,0.00180,0.00000,0.00010,0.00359
1663693137.236956834793091,0.00173,0.00014,0.00025,0.00186,0.00027,0.00014,0.00439
1663693137.270374059677124,0.00128,0.00012,0.00001,0.00194,0.00000,0.00015,0.00351
1663693137.303757667541504,0.00150,0.00015,0.00005,0.00198,0.00000,0.00015,0.00383
1663693137.336805343627930,0.00233,0.00015,0.00004,0.00181,0.00000,0.00016,0.00449
1663693137.370278358459473,0.00150,0.00014,0.00006,0.00172,0.00001,0.00015,0.00357
1663693137.403652906417847,0.00157,0.00013,0.00003,0.00182,0.00044,0.00013,0.00412
1663693137.436810255050659,0.00161,0.00014,0.00001,0.00182,0.00096,0.00017,0.00471
1663693137.470308542251587,0.00160,0.00013,0.00001,0.00193,0.00000,0.00010,0.00377
1663693137.503702402114868,0.00196,0.00014,0.00001,0.00209,0.00092,0.00013,0.00525
1663693137.536825895309448,0.00214,0.00013,0.00005,0.00185,0.00049,0.00014,0.00479
1663693137.570338964462280,0.00140,0.00015,0.00001,0.00228,0.00000,0.00021,0.00405
1663693137.603685379028320,0.00155,0.00015,0.00006,0.00208,0.00000,0.00015,0.00399
1663693137.636862039566040,0.00150,0.00053,0.00003,0.00206,0.00000,0.00014,0.00426
1663693137.670291900634766,0.00150,0.00015,0.00001,0.00223,0.00053,0.00016,0.00458
1663693137.703670978546143,0.00125,0.00013,0.00001,0.00220,0.00073,0.00013,0.00446
1663693137.736909866333008,0.00172,0.00015,0.00003,0.00191,0.00000,0.00009,0.00390
1663693137.770141124725342,0.00299,0.00015,0.00006,0.00199,0.00002,0.00015,0.00535
1663693137.803619146347046,0.00171,0.00013,0.00003,0.00202,0.00064,0.00017,0.00470
1663693137.836967468261719,0.00147,0.00014,0.00003,0.00189,0.00000,0.00013,0.00365
1663693137.870208501815796,0.00174,0.00013,0.00001,0.00196,0.00000,0.00014,0.00398
1663693137.903604507446289,0.00140,0.00013,0.00001,0.00191,0.00000,0.00012,0.00356
1663693137.936937332153320,0.00147,0.00013,0.00001,0.00189,0.00000,0.00013,0.00362
1663693137.970062732696533,0.00140,0.00014,0.00006,0.00187,0.00000,0.00015,0.00361
1663693138.003545284271240,0.00193,0.00014,0.00001,0.00191,0.00052,0.00012,0.00462
1663693138.036878585815430,0.00212,0.00013,0.00005,0.00182,0.00027,0.00012,0.00451
1663693138.069982290267944,0.00277,0.00013,0.00007,0.00181,0.00069,0.00018,0.00565
1663693138.103507995605469,0.00210,0.00015,0.00023,0.00154,0.00025,0.00017,0.00445
1663693138.136826753616333,0.00180,0.00012,0.00001,0.00165,0.00000,0.00017,0.00376
1663693138.169941425323486,0.00231,0.00013,0.00001,0.00170,0.00000,0.00024,0.00439
1663693138.203444957733154,0.00173,0.00015,0.00001,0.00157,0.00000,0.00015,0.00361
1663693138.236783504486084,0.00180,0.00012,0.00001,0.00153,0.00000,0.00017,0.00364
1663693138.269901037216187,0.00157,0.00012,0.00002,0.00144,0.00000,0.00012,0.00328
1663693138.303549289703369,0.00144,0.00015,0.00001,0.00143,0.00019,0.00014,0.00335
1663693138.336896419525146,0.00205,0.00016,0.00001,0.00146,0.00831,0.00016,0.01214
1663693138.370027780532837,0.00170,0.00016,0.00001,0.00432,0.00000,0.00016,0.00635
1663693138.403527498245239,0.00146,0.00016,0.00001,0.00310,0.00000,0.00025,0.00498
1663693138.436889648437500,0.00159,0.00015,0.00003,0.00316,0.00000,0.00014,0.00506
1663693138.470144510269165,0.00150,0.00014,0.00001,0.00307,0.00000,0.00016,0.00487
1663693138.503412246704102,0.00140,0.00015,0.00009,0.00301,0.00000,0.00016,0.00482
1663693138.536921024322510,0.00144,0.00015,0.00001,0.00292,0.00000,0.00011,0.00463
1663693138.570343732833862,0.00189,0.00019,0.00003,0.00241,0.00000,0.00016,0.00468
1663693138.603441953659058,0.00204,0.00016,0.00018,0.00197,0.00023,0.00023,0.00481
1663693138.636916160583496,0.00199,0.00013,0.00002,0.00196,0.00004,0.00016,0.00431
